"HolderAddress","Balance","PendingBalanceUpdate"
"0x7AF3EDC58487BAD40A21B93D90F14453282D8DF3","119,927.560575684577275317","No"
"0x3F3E305C4AD49271EBDA489DD43D2C8F027D2D41","117,041.412791188989897658","No"
"0xa8d4fc39e2e9ecb8410478f5c83c642b906daaee","115,301.931554694172149225","No"
"0x1085057E6D9AD66E73D3CC788079155660264152","115,249.845521412738859","No"
"0xfCfa97356dA483CaE8227dFd9e08623E07eb9edA","113,444.760797350522602105","No"
"0xf939905a9ff54e835038d8cc3ed57318b90c0333","112,512.641706784928033953","No"
"0xA1BD211DF686547EB2917271051EF5680BCEC6D1","112,210.85991020670810325","No"
"0xAEF01E64B1F59B99208B93A7D8A09F9F175D79FA","111,459.541494819191720474","No"
"0x9D11B1E1445B017902E561CEB201F009B3D53A42","111,313.790494045504809169","No"
"0x2326D4FB2737666DDA96BD6314E3D4418246CFE8","110,712.169360731793032843","No"
"0xD46C81245A0582891C2249DAF2D68925977CF2A7","109,694.184053568465011453","No"
"0xD18001F022154654149ED45888C9C29DEF6D3CE6","109,533.095478006276352592","No"
"0xA98BE71B3213E21D8014B41AC0309BC9DCCA6B9A","107,235.089387697723456477","No"
"0x3F6524BBAB05FD836710FBBF9ADC6268E42ABD80","106,585.100464739260708141","No"
"0x5D5D08393E5BC93078F83A6A0B9077B474B9BAD4","106,019.65475776318822035","No"
"0x20EADFCAF91BD98674FF8FC341D148E1731576A4","105,986.131009005565260566","No"
"0x65A0BF08FF1BF021ED8D929402371F6CFB83AB53","105,744.871265122605945535","No"
"0xEDA2159A6E2D1F2C24BC9BDDE075619E01017E77","104,922.89572272230283756","No"
"0x4202E733EB2D17A92401FD75148D04AC1B28F1C3","102,269.019400349828950144","No"
"0x22510FE99F63AE03BA792C21A29EC10FD87CAE08","102,167.566060555127911063","No"
"0xDBA2CBA9F62CF1EF07B3664EE1DA3663C86C38D0","102,047.146233593356895671","No"
"0xE2CA7390E76C5A992749BB622087310D2E63CA29","101,832.559958815118707833","No"
"0x1777281A2B6610D40FF726C3E03BBDC3B93D31AD","101,412.139674244026943237","No"
"0x544845005E42FE00A3C0E9735EEEC25AA068B428","100,476.27385309180330855","No"
"0x6F9BB7E454F5B3EB2310343F0E99269DC2BB8A1D","99,814.462136740745005458","No"
"0x7276FCE3BF648AB2E4B83CC77A4FD1BD3B28E2F8","99,499.97008040473203932","No"
"0xB44831A793D4BE04C06AD22E3FED000B7406B382","99,463.94735480874798897","No"
"0x1288E3DAD9DEB275DEB8793F5E206AB17BF11224","99,380.35738535888511766","No"
"0xD7E228B7EB0C727706D5955C4C518CB10A3E7A19","98,505.182930337585529952","No"
"0xD89DCD226F1F902D060B4F5897EDC130D8A7B312","98,454.938007356589447658","No"
"0x0eb4add4ba497357546da7f5d12d39587ca24606","97,725.878361237930233514","No"
"0x6FBE6EAB3053FEF0DA871807346B0B40E989840F","97,449.528179120275654133","No"
"0xfd225193f80f40053FD1a1548bcA6cF0e6577Bb4","97,072.879878990510764269","No"
